,nome,rank,idade,email,hash_senha
0,EsquiloTorto,78,30,EsquiloTorto@yahoo.com,970642661180
1,Lfz,50,18,Lfz@hotmail.com,300474884555
2,MorfeuDoidao,79,23,MorfeuDoidao@gmail.com,833897040891
3,Uizel,67,23,Uizel@hotmail.com,426434720147
4,Shimo,63,21,Shimo@hotmail.com,881765941010
5,duduxgamer,19,10,duduxgamer@gmail.com,630680434539
6,YodaSL,47,22,YodaSL@gmail.com,167727112552
7,alanzoka,57,26,alanzoka@gmail.com,900125931482
8,Kami,100,28,Kami@gmail.com,119196598276
9,Faker,62,27,Faker@yahoo.com,565025373196
10,Caca,47,21,Caca@gmail.com,180626869129
11,TomFromIT,0,17,TomFromIT@hotmail.com,517204634200
12,ObiWanKenhomie,0,17,ObiWanKenhomie@gmail.com,165868702801
13,CaptinAwsome61,0,18,CaptinAwsome61@gmail.com,868004155544
14,WittyPup3812019,48,19,WittyPup3812019@gmail.com,298448518221
15,UnabatedShagie,28,20,UnabatedShagie@gmail.com,685600284325
16,xxGREENxARR0Wxx,69,29,xxGREENxARR0Wxx@gmail.com,841125417099
17,duckyisbeast,81,22,duckyisbeast@gmail.com,314328692945
18,SoulLaVane,36,23,SoulLaVane@hotmail.com,696626465808
19,Xerel,30,24,Xerel@hotmail.com,412822003473
20,eclaireN7,0,15,eclaireN7@gmail.com,792292008623
21,BoboMajora,40,23,BoboMajora@gmail.com,568532077162
22,Bob,76,28,Bob@gmail.com,523577385986
23,Alexassaura,100,30,Alexassaura@hotmail.com,498904303171
24,PatoPapao,69,21,PatoPapao@gmail.com,608716207319
25,Mylonzete,55,21,Mylonzete@hotmail.com,343778568216
26,revolta,15,26,revolta@gmail.com,872321381557
27,Rakin,57,23,Rakin@outlook.com,266255142765
28,esA,100,32,esA@gmail.com,346991928738
29,Felps,75,28,Felps@gmail.com,260668283855
30,MrFall,47,21,MrFall@gmail.com,978770433961
31,takeshi,90,25,takeshi@gmail.com,905574596437
32,DooDooDave,50,29,DooDooDave@gmail.com,587440222056
33,Warewholock13,42,24,Warewholock13@gmail.com,669604116162
34,BotDavi,71,30,BotDavi@gmail.com,161939481960
35,ConfusedBotanist,11,15,ConfusedBotanist@hotmail.com,807367763346
36,HugeLalafell,55,20,HugeLalafell@gmail.com,761843212997
37,calango,50,21,calango@hotmail.com,490625403791
38,bagi,82,18,bagi@gmail.com,766363434131
39,ReinaldoDjango,39,22,ReinaldoDjango@yahoo.com,873363603195
40,TickoTecko,43,15,TickoTecko@gmail.com,796158470423
41,Psicoplasma,71,21,Psicoplasma@gmail.com,516780465686
42,Katarina,0,19,Katarina@hotmail.com,552876000595
43,AlfaZero,0,25,AlfaZero@gmail.com,571608798413
44,SnowDPP,64,28,SnowDPP@hotmail.com,785775452203
45,Biazinha03,30,21,Biazinha03@hotmail.com,248942898043
46,Patati,51,15,Patati@hotmail.com,584388670347
47,Patata,86,27,Patata@yahoo.com,674903947615
48,Palhançandinham,53,18,Palhançandinham@gmail.com,996687797787
49,GeoooO,40,20,GeoooO@gmail.com,582595918277
50,Adele,32,21,Adele@gmail.com,475266892891
51,EdCheira,7,12,EdCheira@hotmail.com,325749289079
52,CharutoUsacrack,20,19,CharutoUsacrack@gmail.com,509554900031
53,Stephannn,96,28,Stephannn@yahoo.com,351491235456
54,SwingSwongsson,68,35,SwingSwongsson@hotmail.com,495956987467
55,Potinho,52,27,Potinho@hotmail.com,863254545703
56,CerealKiller,66,22,CerealKiller@hotmail.com,343163981794
57,Commando,9,18,Commando@yahoo.com,298746161296
58,Clickzy,84,24,Clickzy@hotmail.com,240418004670
59,Flixzer,1,16,Flixzer@gmail.com,654772061916
60,Lotus,47,22,Lotus@gmail.com,216051941307
61,Jaabaaz,42,17,Jaabaaz@gmail.com,214924083327
62,MakunaHatata,81,32,MakunaHatata@gmail.com,581499997240
63,WalkingPegasus,39,25,WalkingPegasus@hotmail.com,652522295557
64,xXnightmareXx,77,34,xXnightmareXx@gmail.com,656444052744
65,Alberta,16,23,Alberta@hotmail.com,942175184187
66,zLoveMySkills,9,17,zLoveMySkills@gmail.com,285502332319
67,BUTTERNUGGETZ,37,23,BUTTERNUGGETZ@gmail.com,904743654294
68,Willow,36,19,Willow@gmail.com,665366810833
69,IronHeart,45,26,IronHeart@gmail.com,579799883262
70,HackEye,37,17,HackEye@gmail.com,500490397469
71,NightEye,41,17,NightEye@gmail.com,137650942048
72,SleekZelda,37,20,SleekZelda@hotmail.com,334779946288
73,PsychoticWisdom,75,28,PsychoticWisdom@outlook.com,868084318138
